[2023-05-09 20:41:51,681] | [INFO ] URLDownloadQueue       : Iniciada.
[2023-05-09 20:41:51,681] | [INFO ] ExtractionQueue        : Iniciada.
[2023-05-09 20:41:51,681] | [INFO ] URLFrontQueue          : Iniciada.
[2023-05-09 20:41:51,682] | [INFO ] URLBackQueue           : Iniciada.
[2023-05-09 20:41:51,682] | [INFO ] RewindInputStream      : Iniciado.
[2023-05-09 20:41:51,682] | [INFO ] LinkExtractor          : Iniciado.
[2023-05-09 20:41:51,682] | [INFO ] DomainToQueueTable     : Iniciado.
[2023-05-09 20:41:51,682] | [INFO ] FrontToBackQueueRouter : Iniciado.
[2023-05-09 20:41:51,683] | [INFO ] URLDownloadScheduler   : Iniciado.
[2023-05-09 20:41:51,683] | [INFO ] RewindInputStream      : Iniciando módulo de entrada de dados.
[2023-05-09 20:41:51,684] | [INFO ] LinkExtractor          : Iniciando processo de extração.
[2023-05-09 20:41:51,684] | [INFO ] DBPostgresConnection   : Iniciado.
[2023-05-09 20:41:51,684] | [INFO ] FrontToBackQueueRouter : Iniciando roteamento de URLs.
[2023-05-09 20:41:51,684] | [INFO ] URLDownloadScheduler   : Iniciando o agendamento de downloads.
[2023-05-09 20:41:51,684] | [DEBUG] LinkExtractor          : Fila de extração vazia. Aguardando...
[2023-05-09 20:41:51,684] | [INFO ] DBPostgresConnection   : Conectando ao banco de dados...
[2023-05-09 20:41:51,684] | [INFO ] FrontToBackQueueRouter : Fila do Front vazia. Aguardando...
[2023-05-09 20:41:51,685] | [INFO ] URLDownloadScheduler   : Fila de URLs vazia. Aguardando...
[2023-05-09 20:41:51,732] | [INFO ] DBPostgresConnection   : Banco de dados conectado com sucesso.
[2023-05-09 20:41:51,732] | [INFO ] HTTPDownloader         : Iniciado.
[2023-05-09 20:41:51,733] | [INFO ] RewindInputStream      : Obtendo novas URLs para download.
[2023-05-09 20:41:51,733] | [DEBUG] RewindInputStream      : Pacote obtido: 1 URLs. Tempo de espera: 0 segundos.
[2023-05-09 20:41:51,733] | [INFO ] RewindInputStream      : Baixando 1 URLs.
[2023-05-09 20:41:52,524] | [INFO ] DBPostgresConnection   : Salvando os documentos HTML no banco de dados...
[2023-05-09 20:41:52,546] | [INFO ] DBPostgresConnection   : 1 documentos HTML salvos no banco de dados.
[2023-05-09 20:41:52,546] | [INFO ] RewindInputStream      : 1 documentos baixados, 0 falharam.
[2023-05-09 20:41:52,547] | [INFO ] RewindInputStream      : Obtendo novas URLs para download.
[2023-05-09 20:41:52,547] | [DEBUG] RewindInputStream      : Fila de download vazia. Aguardando novas URLs...
[2023-05-09 20:41:52,690] | [INFO ] LinkExtractor          : 55 links extraídos da página https://www.olx.com.br...carros-vans-e-utilitarios.
[2023-05-09 20:41:52,690] | [INFO ] LinkExtractor          : Encaminhando links para a fila do Front.
[2023-05-09 20:41:52,690] | [INFO ] LinkExtractor          : Encaminhamento concluído.
[2023-05-09 20:41:52,691] | [DEBUG] DomainToQueueTable     : Novo domínio encontrado. Criando fila para o domínio 570177218857139012.
[2023-05-09 20:41:52,691] | [DEBUG] LinkExtractor          : Fila de extração vazia. Aguardando...
[2023-05-09 20:41:52,691] | [INFO ] FrontToBackQueueRouter : Fila do Front vazia. Aguardando...
[2023-05-09 20:42:02,691] | [DEBUG] URLDownloadScheduler   : Download agendado para 2023-05-09 20:42:02.691702, URL: https://ce.olx.com.br/...er-pr-blindado-1108463635.
[2023-05-09 20:42:02,691] | [DEBUG] RewindInputStream      : Pacote obtido: 1 URLs. Tempo de espera: 10 segundos.
[2023-05-09 20:42:02,692] | [INFO ] RewindInputStream      : Baixando 1 URLs.
[2023-05-09 20:42:03,581] | [INFO ] DBPostgresConnection   : Salvando os documentos HTML no banco de dados...
[2023-05-09 20:42:03,588] | [INFO ] LinkExtractor          : 58 links extraídos da página https://ce.olx.com.br/...er-pr-blindado-1108463635.
[2023-05-09 20:42:03,588] | [INFO ] LinkExtractor          : Encaminhando links para a fila do Front.
[2023-05-09 20:42:03,589] | [INFO ] LinkExtractor          : Encaminhamento concluído.
[2023-05-09 20:42:03,589] | [DEBUG] LinkExtractor          : Fila de extração vazia. Aguardando...
[2023-05-09 20:42:03,641] | [INFO ] DBPostgresConnection   : 1 documentos HTML salvos no banco de dados.
[2023-05-09 20:42:03,641] | [INFO ] RewindInputStream      : 1 documentos baixados, 0 falharam.
[2023-05-09 20:42:03,641] | [INFO ] RewindInputStream      : Obtendo novas URLs para download.
[2023-05-09 20:42:03,641] | [DEBUG] RewindInputStream      : Fila de download vazia. Aguardando novas URLs...
[2023-05-09 20:42:12,693] | [DEBUG] URLDownloadScheduler   : Download agendado para 2023-05-09 20:42:12.693070, URL: https://ba.olx.com.br/...itarios/gol-g5-1183275541.
[2023-05-09 20:42:12,693] | [INFO ] FrontToBackQueueRouter : Fila do Front vazia. Aguardando...
[2023-05-09 20:42:12,693] | [DEBUG] RewindInputStream      : Pacote obtido: 1 URLs. Tempo de espera: 9 segundos.
[2023-05-09 20:42:12,694] | [INFO ] RewindInputStream      : Baixando 1 URLs.
[2023-05-09 20:42:13,502] | [INFO ] DBPostgresConnection   : Salvando os documentos HTML no banco de dados...
[2023-05-09 20:42:13,510] | [INFO ] LinkExtractor          : 58 links extraídos da página https://ba.olx.com.br/...itarios/gol-g5-1183275541.
[2023-05-09 20:42:13,510] | [INFO ] LinkExtractor          : Encaminhando links para a fila do Front.
[2023-05-09 20:42:13,510] | [INFO ] LinkExtractor          : Encaminhamento concluído.
[2023-05-09 20:42:13,510] | [DEBUG] LinkExtractor          : Fila de extração vazia. Aguardando...
[2023-05-09 20:42:13,519] | [INFO ] DBPostgresConnection   : 1 documentos HTML salvos no banco de dados.
[2023-05-09 20:42:13,520] | [INFO ] RewindInputStream      : 1 documentos baixados, 0 falharam.
[2023-05-09 20:42:13,520] | [INFO ] RewindInputStream      : Obtendo novas URLs para download.
[2023-05-09 20:42:13,520] | [DEBUG] RewindInputStream      : Fila de download vazia. Aguardando novas URLs...
[2023-05-09 20:42:22,694] | [DEBUG] URLDownloadScheduler   : Download agendado para 2023-05-09 20:42:22.694029, URL: https://rj.olx.com.br/...arro-de-leilao-1180684467.
[2023-05-09 20:42:22,694] | [INFO ] FrontToBackQueueRouter : Fila do Front vazia. Aguardando...
[2023-05-09 20:42:22,694] | [DEBUG] RewindInputStream      : Pacote obtido: 1 URLs. Tempo de espera: 9 segundos.
[2023-05-09 20:42:22,695] | [INFO ] RewindInputStream      : Baixando 1 URLs.
[2023-05-09 20:42:23,351] | [INFO ] DBPostgresConnection   : Salvando os documentos HTML no banco de dados...
[2023-05-09 20:42:23,357] | [INFO ] LinkExtractor          : 59 links extraídos da página https://rj.olx.com.br/...arro-de-leilao-1180684467.
[2023-05-09 20:42:23,357] | [INFO ] LinkExtractor          : Encaminhando links para a fila do Front.
[2023-05-09 20:42:23,358] | [INFO ] LinkExtractor          : Encaminhamento concluído.
[2023-05-09 20:42:23,358] | [DEBUG] LinkExtractor          : Fila de extração vazia. Aguardando...
[2023-05-09 20:42:23,367] | [INFO ] DBPostgresConnection   : 1 documentos HTML salvos no banco de dados.
[2023-05-09 20:42:23,367] | [INFO ] RewindInputStream      : 1 documentos baixados, 0 falharam.
[2023-05-09 20:42:23,367] | [INFO ] RewindInputStream      : Obtendo novas URLs para download.
[2023-05-09 20:42:23,367] | [DEBUG] RewindInputStream      : Fila de download vazia. Aguardando novas URLs...
[2023-05-09 20:42:32,694] | [DEBUG] URLDownloadScheduler   : Download agendado para 2023-05-09 20:42:32.694780, URL: https://ac.olx.com.br/...da-civic-15-16-1180684502.
[2023-05-09 20:42:32,694] | [INFO ] FrontToBackQueueRouter : Fila do Front vazia. Aguardando...
[2023-05-09 20:42:32,694] | [DEBUG] RewindInputStream      : Pacote obtido: 1 URLs. Tempo de espera: 9 segundos.
[2023-05-09 20:42:32,695] | [INFO ] RewindInputStream      : Baixando 1 URLs.
[2023-05-09 20:42:33,548] | [INFO ] DBPostgresConnection   : Salvando os documentos HTML no banco de dados...
[2023-05-09 20:42:33,556] | [INFO ] LinkExtractor          : 59 links extraídos da página https://ac.olx.com.br/...da-civic-15-16-1180684502.
[2023-05-09 20:42:33,557] | [INFO ] LinkExtractor          : Encaminhando links para a fila do Front.
[2023-05-09 20:42:33,557] | [INFO ] LinkExtractor          : Encaminhamento concluído.
[2023-05-09 20:42:33,557] | [DEBUG] LinkExtractor          : Fila de extração vazia. Aguardando...
[2023-05-09 20:42:33,561] | [INFO ] DBPostgresConnection   : 1 documentos HTML salvos no banco de dados.
[2023-05-09 20:42:33,561] | [INFO ] RewindInputStream      : 1 documentos baixados, 0 falharam.
[2023-05-09 20:42:33,562] | [INFO ] RewindInputStream      : Obtendo novas URLs para download.
[2023-05-09 20:42:33,562] | [DEBUG] RewindInputStream      : Fila de download vazia. Aguardando novas URLs...
[2023-05-09 20:42:42,696] | [DEBUG] URLDownloadScheduler   : Download agendado para 2023-05-09 20:42:42.696096, URL: https://to.olx.com.br/...lex-automatica-1176931366.
[2023-05-09 20:42:42,696] | [INFO ] FrontToBackQueueRouter : Fila do Front vazia. Aguardando...
[2023-05-09 20:42:42,696] | [DEBUG] RewindInputStream      : Pacote obtido: 1 URLs. Tempo de espera: 9 segundos.
[2023-05-09 20:42:42,696] | [INFO ] RewindInputStream      : Baixando 1 URLs.
